	J	r_X	sigma_Lambda_over_Lambda	Tmax_over_tau_E	sigma_t	tau_rp	g_E	g_I	beta	K	ell	CV_K	idx_species	idx_combined
0	1.000000116544458e-05	30.234673456745977	1.0723069736234536	200.0	0.01	0.002	7.102008331742646	6.624827652754239	0.1270241171871309	500.0	3.2443498376573308	0.08908465946488932	0.0	0.0
1	1.000000116544458e-05	33.164448975997836	1.0723069736234536	200.0	0.01	0.002	7.102008331742646	6.624827652754239	0.1270241171871309	500.0	3.2443498376573308	0.08908465946488932	0.0	0.0
2	1.000000116544458e-05	35.384623493599214	1.0723069736234536	200.0	0.01	0.002	7.102008331742646	6.624827652754239	0.1270241171871309	500.0	3.2443498376573308	0.08908465946488932	0.0	0.0
3	1.000000116544458e-05	38.633660566122316	1.0723069736234536	200.0	0.01	0.002	7.102008331742646	6.624827652754239	0.1270241171871309	500.0	3.2443498376573308	0.08908465946488932	0.0	0.0
4	1.000000116544458e-05	39.97181469547503	1.0723069736234536	200.0	0.01	0.002	7.102008331742646	6.624827652754239	0.1270241171871309	500.0	3.2443498376573308	0.08908465946488932	0.0	0.0
5	1.000000116544458e-05	56.48612793256832	1.0723069736234536	200.0	0.01	0.002	7.102008331742646	6.624827652754239	0.1270241171871309	500.0	3.2443498376573308	0.08908465946488932	0.0	0.0
6	1.000000116544458e-05	70.75450097240197	1.0723069736234536	200.0	0.01	0.002	7.102008331742646	6.624827652754239	0.1270241171871309	500.0	3.2443498376573308	0.08908465946488932	0.0	0.0
7	0.00034292339158021646	17.668753891416262	1.6736530828779235	200.0	0.01	0.002	6.3004073381537555	2.0613399508755776	0.621021270134094	500.0	6.665971363754955	0.01047291413981408	1.0	0.0
8	0.00034292339158021646	32.88621914983468	1.6736530828779235	200.0	0.01	0.002	6.3004073381537555	2.0613399508755776	0.621021270134094	500.0	6.665971363754955	0.01047291413981408	1.0	0.0
9	0.00034292339158021646	38.916148438967355	1.6736530828779235	200.0	0.01	0.002	6.3004073381537555	2.0613399508755776	0.621021270134094	500.0	6.665971363754955	0.01047291413981408	1.0	0.0
10	0.00034292339158021646	44.73260634731122	1.6736530828779235	200.0	0.01	0.002	6.3004073381537555	2.0613399508755776	0.621021270134094	500.0	6.665971363754955	0.01047291413981408	1.0	0.0
11	0.00034292339158021646	47.0732884302353	1.6736530828779235	200.0	0.01	0.002	6.3004073381537555	2.0613399508755776	0.621021270134094	500.0	6.665971363754955	0.01047291413981408	1.0	0.0
12	0.00034292339158021646	50.52322037966226	1.6736530828779235	200.0	0.01	0.002	6.3004073381537555	2.0613399508755776	0.621021270134094	500.0	6.665971363754955	0.01047291413981408	1.0	0.0
13	0.00013026494559031425	13.31927114835645	1.9223717573789951	200.0	0.01	0.002	4.193646336216857	2.921547673876025	0.1360585138494172	500.0	1.6537154659094804	0.016753522781185606	0.0	1.0
14	0.00013026494559031425	14.48441128037652	1.9223717573789951	200.0	0.01	0.002	4.193646336216857	2.921547673876025	0.1360585138494172	500.0	1.6537154659094804	0.016753522781185606	0.0	1.0
15	0.00013026494559031425	14.647078139911251	1.9223717573789951	200.0	0.01	0.002	4.193646336216857	2.921547673876025	0.1360585138494172	500.0	1.6537154659094804	0.016753522781185606	0.0	1.0
16	0.00013026494559031425	15.261960826211007	1.9223717573789951	200.0	0.01	0.002	4.193646336216857	2.921547673876025	0.1360585138494172	500.0	1.6537154659094804	0.016753522781185606	0.0	1.0
17	0.00013026494559031425	15.52627433232052	1.9223717573789951	200.0	0.01	0.002	4.193646336216857	2.921547673876025	0.1360585138494172	500.0	1.6537154659094804	0.016753522781185606	0.0	1.0
18	0.00013026494559031425	18.007308528664677	1.9223717573789951	200.0	0.01	0.002	4.193646336216857	2.921547673876025	0.1360585138494172	500.0	1.6537154659094804	0.016753522781185606	0.0	1.0
19	0.00013026494559031425	23.912331023805454	1.9223717573789951	200.0	0.01	0.002	4.193646336216857	2.921547673876025	0.1360585138494172	500.0	1.6537154659094804	0.016753522781185606	0.0	1.0
20	0.00013026494559031425	30.380345203899104	1.9223717573789951	200.0	0.01	0.002	4.193646336216857	2.921547673876025	0.1360585138494172	500.0	4.7226088577898135	0.016753522781185606	1.0	1.0
21	0.00013026494559031425	52.330748615250265	1.9223717573789951	200.0	0.01	0.002	4.193646336216857	2.921547673876025	0.1360585138494172	500.0	4.7226088577898135	0.016753522781185606	1.0	1.0
