	J	r_X	sigma_Lambda_over_Lambda	Tmax_over_tau_E	sigma_t	tau_rp	g_E	g_I	beta	K	ell
0	1e-05	10.0	1.0	200.0	0.01	0.002	3.0	2.0	1.0	500.0	20.0
1	1e-05	10.0	1.0	200.0	0.01	0.002	4.0	2.0	1.0	500.0	20.0
2	1e-05	10.0	1.0	200.0	0.01	0.002	4.0	3.0	1.0	500.0	20.0
3	1e-05	10.0	1.0	200.0	0.01	0.002	5.0	2.0	1.0	500.0	20.0
4	1e-05	10.0	1.0	200.0	0.01	0.002	5.0	3.0	1.0	500.0	20.0
5	1e-05	10.0	1.0	200.0	0.01	0.002	5.0	4.0	1.0	500.0	20.0
6	1e-05	10.0	1.0	200.0	0.01	0.002	6.0	2.0	1.0	500.0	20.0
7	1e-05	10.0	1.0	200.0	0.01	0.002	6.0	3.0	1.0	500.0	20.0
8	1e-05	10.0	1.0	200.0	0.01	0.002	6.0	4.0	1.0	500.0	20.0
9	1e-05	10.0	1.0	200.0	0.01	0.002	6.0	5.0	1.0	500.0	20.0
10	1e-05	10.0	1.0	200.0	0.01	0.002	7.0	2.0	1.0	500.0	20.0
11	1e-05	10.0	1.0	200.0	0.01	0.002	7.0	3.0	1.0	500.0	20.0
12	1e-05	10.0	1.0	200.0	0.01	0.002	7.0	4.0	1.0	500.0	20.0
13	1e-05	10.0	1.0	200.0	0.01	0.002	7.0	5.0	1.0	500.0	20.0
14	1e-05	10.0	1.0	200.0	0.01	0.002	7.0	6.0	1.0	500.0	20.0
15	1e-05	10.0	1.0	200.0	0.01	0.002	8.0	2.0	1.0	500.0	20.0
16	1e-05	10.0	1.0	200.0	0.01	0.002	8.0	3.0	1.0	500.0	20.0
17	1e-05	10.0	1.0	200.0	0.01	0.002	8.0	4.0	1.0	500.0	20.0
18	1e-05	10.0	1.0	200.0	0.01	0.002	8.0	5.0	1.0	500.0	20.0
19	1e-05	10.0	1.0	200.0	0.01	0.002	8.0	6.0	1.0	500.0	20.0
20	1e-05	10.0	1.0	200.0	0.01	0.002	8.0	7.0	1.0	500.0	20.0
21	1e-05	10.0	1.0	200.0	0.01	0.002	9.0	2.0	1.0	500.0	20.0
22	1e-05	10.0	1.0	200.0	0.01	0.002	9.0	3.0	1.0	500.0	20.0
23	1e-05	10.0	1.0	200.0	0.01	0.002	9.0	4.0	1.0	500.0	20.0
24	1e-05	10.0	1.0	200.0	0.01	0.002	9.0	5.0	1.0	500.0	20.0
25	1e-05	10.0	1.0	200.0	0.01	0.002	9.0	6.0	1.0	500.0	20.0
26	1e-05	10.0	1.0	200.0	0.01	0.002	9.0	7.0	1.0	500.0	20.0
27	1e-05	10.0	1.0	200.0	0.01	0.002	9.0	8.0	1.0	500.0	20.0
28	1e-05	10.0	1.0	200.0	0.01	0.002	10.0	2.0	1.0	500.0	20.0
29	1e-05	10.0	1.0	200.0	0.01	0.002	10.0	3.0	1.0	500.0	20.0
30	1e-05	10.0	1.0	200.0	0.01	0.002	10.0	4.0	1.0	500.0	20.0
31	1e-05	10.0	1.0	200.0	0.01	0.002	10.0	5.0	1.0	500.0	20.0
32	1e-05	10.0	1.0	200.0	0.01	0.002	10.0	6.0	1.0	500.0	20.0
33	1e-05	10.0	1.0	200.0	0.01	0.002	10.0	7.0	1.0	500.0	20.0
34	1e-05	10.0	1.0	200.0	0.01	0.002	10.0	8.0	1.0	500.0	20.0
35	1e-05	10.0	1.0	200.0	0.01	0.002	10.0	9.0	1.0	500.0	20.0
36	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	3.0	2.0	1.0	500.0	20.0
37	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	4.0	2.0	1.0	500.0	20.0
38	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	4.0	3.0	1.0	500.0	20.0
39	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	5.0	2.0	1.0	500.0	20.0
40	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	5.0	3.0	1.0	500.0	20.0
41	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	5.0	4.0	1.0	500.0	20.0
42	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	6.0	2.0	1.0	500.0	20.0
43	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	6.0	3.0	1.0	500.0	20.0
44	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	6.0	4.0	1.0	500.0	20.0
45	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	6.0	5.0	1.0	500.0	20.0
46	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	7.0	2.0	1.0	500.0	20.0
47	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	7.0	3.0	1.0	500.0	20.0
48	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	7.0	4.0	1.0	500.0	20.0
49	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	7.0	5.0	1.0	500.0	20.0
50	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	7.0	6.0	1.0	500.0	20.0
51	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	8.0	2.0	1.0	500.0	20.0
52	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	8.0	3.0	1.0	500.0	20.0
53	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	8.0	4.0	1.0	500.0	20.0
54	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	8.0	5.0	1.0	500.0	20.0
55	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	8.0	6.0	1.0	500.0	20.0
56	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	8.0	7.0	1.0	500.0	20.0
57	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	9.0	2.0	1.0	500.0	20.0
58	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	9.0	3.0	1.0	500.0	20.0
59	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	9.0	4.0	1.0	500.0	20.0
60	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	9.0	5.0	1.0	500.0	20.0
61	1.6681005372000593e-05	10.0	1.0	200.0	0.01	0.002	9.0	6.0	1.0	500.0	20.0
